Date,AAPL,MSFT,AMZN,GOOGL,TSLA,NVDA
2024-07-12,-1.5114913936752177,-0.009417821078733466,-0.31421115275548406,-0.4114528312735972,-1.095123313155167,-0.3430801550823354
2024-07-15,-1.711969070526919,0.018670641860547513,0.027495502460926358,-0.6215379264364587,-1.1132794194144282,-0.16872194767073684
2024-07-16,-1.545907258664047,0.7180266787879979,0.05838541145610408,-0.0057115713738358975,-1.1196584859030836,0.26586061667486555
2024-07-17,-0.8374242698897669,1.4913340764094336,1.0183105945822561,0.7077677310552882,-0.7830242351575117,1.9460068004435984
2024-07-18,-0.2980207940447118,1.7766551613697357,1.8145988093131038,1.6004865847929757,-0.7250631263983937,1.1882777075050963
2024-07-19,-0.24474907939971904,1.9681809793868181,1.8174856019727734,1.6780308760479783,-0.32341860476567275,1.6990771026951648
2024-07-22,-0.12468982409141513,1.1837308585578454,1.7294722466318042,0.7059453869617635,-0.6750496476174956,0.3940892522102809
2024-07-23,-0.16368475497657117,0.9328510719339819,1.1144458337145382,0.7351166942627192,-0.4069273191112998,0.702800830272676
2024-07-24,0.8164134413534926,2.241434981091014,1.8560064325727783,2.4810823886753894,0.997880834935993,2.199600401006356
2024-07-25,1.0412771156982135,2.504603356926807,1.7356651533140592,2.6887068833191097,0.9350184477568908,2.1332244851218665
2024-07-26,1.041131320792122,1.7016601198285983,1.2237794457725384,2.21198438930865,1.1182243649870953,1.7314969164756533
2024-07-29,1.1838803520500822,1.434431389389397,1.0292843706588768,1.6195334117538254,0.6357129403370311,1.714623315270439
2024-07-30,1.1316903728869372,1.4932243977023907,1.1072347158378963,1.3580306953627344,1.394323066111805,2.3012770154982936
2024-07-31,0.5673311968557928,1.570002750932446,0.3464085222439612,1.0832539159527481,0.738927555540985,0.5895634225907631
2024-08-01,1.1794499146740745,1.4626763920478414,0.6677218625638424,1.066190886106491,1.5810718421394172,1.3895163966999204
2024-08-02,0.8420825120523666,1.752439115332593,2.4042824496587363,1.4141382052189466,1.8555822764063608,1.4363165104116782
2024-08-05,2.1769850159788184,2.1497951034954803,2.5715196907253657,1.983206992185478,1.9952887169456244,1.888913189692643
2024-08-06,2.061296250225829,1.6871163434801784,2.109660102972408,1.829932813092642,1.6870021017152788,1.348985130607421
2024-08-07,1.5382060260246293,1.5984277300332614,1.8044284389941154,1.6052256858239105,1.8894406567322493,1.744601159570061
2024-08-08,0.9781154185289438,1.2490743100940742,1.3653423517482886,1.1522213771156058,1.3668797830948407,1.0006118117526828
2024-08-09,0.5249663335458256,0.9800293469573845,1.1448397618130488,0.8832162083469107,1.1817638200604934,0.9415184962592296
2024-08-12,0.23011681963993186,0.8576636922107583,1.055452089398471,0.9619863669476495,1.1805637444689416,0.3748993811479401
2024-08-13,-0.5171334087565836,0.36525699281514773,0.6395283337687262,0.6599309292790196,0.613893463225307,-0.63392145617797
2024-08-14,-0.7209269180585606,0.11200221385775919,0.5786829656162885,1.060559611854915,0.8575900150535034,-0.8979884517801873
2024-08-15,-1.2884060228042404,-0.2928495763648409,-0.2747308216394305,0.8464495328582594,0.09431382753587744,-1.5116847183016455
2024-08-16,-1.4874635600637072,-0.1851732119325926,-0.2547852039542245,0.5394549316669017,-0.09174015015321356,-1.604504898915443
2024-08-19,-1.3990472741175772,-0.5455641597119577,-0.41780330857288717,-0.138014318195182,-0.6778059110627218,-2.089481479247009
2024-08-20,-1.4639023460814267,-1.0546852843626562,-0.5622258243520315,-0.4594435325076516,-0.7714332722412748,-1.6685651424019627
2024-08-21,-1.3046943778449231,-1.0354696500997653,-0.7174191740725768,-0.2568679677818849,-0.904847199783915,-1.6032360237832597
2024-08-22,-0.9025131942119453,-0.1875574817987367,-0.2611215554613966,0.2043255291468575,0.09474286769821243,-1.0145209375090338
2024-08-23,-1.1686190420564222,-0.36132489529293593,-0.41668758155596014,-0.2648159195925626,-0.7065713465120939,-1.4183885460752197
